Index,Country,City,Hotel,Address,Popularity
1,US,Detroit,MGM Grand Detroit,"1777 3rd St, Detroit, Michigan",2235
2,US,Detroit,The Westin Book Cadillac Detroit,"1114 Washington Blvd, Detroit, Michigan",1625
3,US,Detroit,Detroit Foundation Hotel,"250 W. Larned Street, Detroit, Michigan",1091
4,US,Detroit,Detroit Marriott at the Renaissance Center,"400 Renaissance Ctr, Detroit, Michigan",2246
5,US,Detroit,The Westin Detroit Metropolitan Airport,"2501 Worldgateway Place, Detroit, Michigan",1704
6,US,Detroit,DoubleTree Suites by Hilton Hotel Detroit Downtown - Fort Shelby,"525 W Lafayette Blvd, Detroit, Michigan",1756
7,US,Detroit,Hampton Inn & Suites Detroit/Airport-Romulus,"31700 Smith Rd, Romulus, Michigan",1071
8,US,Detroit,Baymont by Wyndham Detroit Airport/Romulus,"9000 Wickham Rd, Romulus, Michigan",1045
9,US,Detroit,La Quinta Inn & Suites by Wyndham Detroit Metro Airport,"30847 Flynn Dr, Romulus, Michigan",1023
10,US,Detroit,Hilton Garden Inn Detroit Metro Airport,"31800 Smith Road, Romulus, Michigan",921
11,US,Detroit,"Fort Pontchartrain Detroit, a Wyndham Hotel","2 Washington Boulevard, Detroit, Michigan",1452
12,US,Detroit,Hyatt Place Detroit/Livonia,"19300 Haggerty Rd, Livonia, Michigan",749
13,US,Detroit,Detroit Metro Airport Marriott,"30559 Flynn Dr, Romulus, Michigan",590
14,US,Detroit,The Westin Southfield Detroit,"1500 Town Center, Southfield, Michigan",797
15,US,Detroit,Aloft Detroit at The David Whitney,"1 Park Ave, Detroit, Michigan",873
16,US,Detroit,The Siren Hotel,"1509 Broadway St, Detroit, Michigan",659
17,US,Detroit,Embassy Suites by Hilton Detroit Metro Airport,"8600 Wickham Road, Romulus, Michigan",1264
18,US,Detroit,Courtyard by Marriott Detroit Downtown,"333 East Jefferson Ave, Detroit, Michigan",664
19,US,Detroit,Hampton Inn Detroit / Southgate,"13555 Prechter Blvd, Southgate, Michigan",660
20,US,Detroit,Embassy Suites by Hilton Detroit Troy Auburn Hills,"850 Tower Drive, Troy, Michigan",1434
21,US,Detroit,The Atheneum,"1000 Brush St, Detroit, Michigan",689
22,US,Detroit,"Hilton Garden Inn Detroit-Southfield, MI.","26000 American Drive, Southfield, Michigan",752
23,US,Detroit,Wingate by Wyndham Detroit Metro Airport,"9501 Middlebelt Rd, Romulus, Michigan",1410
