Index,Country,City,Hotel,Address,Popularity
1,CA,Montreal,Hotel Place d'Armes Old Montreal,"55 Rue Saint-Jacques, Montreal, Quebec, Canada",3385
2,CA,Montreal,Sofitel Montreal Golden Mile,"1155 Sherbrooke West, Montreal, Quebec, Canada",2873
3,CA,Montreal,InterContinental Montreal,"360 Rue St-Antoine Ouest, Montreal, Quebec, Canada",2693
4,CA,Montreal,Le Centre Sheraton Montreal Hotel,"1201 Boulevard Rene-Levesque West, Montreal, Quebec, Canada",2909
5,CA,Montreal,Le Westin Montreal,"270 Saint-Antoine Ouest, Montreal, Quebec, Canada",2223
6,CA,Montreal,"Vogue Hotel Montreal Downtown, Curio Collection by Hilton","1425 Rue De La Montagne, Montreal, Quebec, Canada",2088
7,CA,Montreal,Hotel Nelligan,"106, Rue Saint-Paul Ouest, Montreal, Quebec, Canada",3022
8,CA,Montreal,Montreal Marriott Chateau Champlain,"1050 de la Gauchetiere West, Montreal, Quebec, Canada",2415
9,CA,Montreal,Le Saint-Sulpice,"414 Saint-Sulpice, Montreal, Quebec, Canada",2869
10,CA,Montreal,Auberge du Vieux-Port,"97 Rue de la Commune East, Montreal, Quebec, Canada",2157
11,CA,Montreal,Hotel William Gray,"421 Rue St. Vincent, Montreal, Quebec, Canada",1085
12,CA,Montreal,Hotel Gault,"449 Sainte-Helene, Montreal, Quebec, Canada",1684
13,CA,Montreal,Novotel Montreal Centre,"1180 Rue de la Montagne, Montreal, Quebec, Canada",2215
14,CA,Montreal,Hotel Faubourg Montreal,"155 Rene Levesque Boulevard East, Montreal, Quebec, Canada",2017
15,CA,Montreal,Le St-Martin Hotel Particulier Montreal,"980 Boulevard de Maisonneuve Ouest, Montreal, Quebec, Canada",2029
16,CA,Montreal,Delta Hotels by Marriott Montreal,"475 President-Kennedy Avenue, Montreal, Quebec, Canada",2037
17,CA,Montreal,"The Ritz-Carlton, Montreal","1228 Sherbrooke St.West, Montreal, Quebec, Canada",1414
18,CA,Montreal,LHotel,"262 St Jacques West, Montreal, Quebec, Canada",1679
19,CA,Montreal,St Paul Hotel,"355 McGill Street, Montreal, Quebec, Canada",1982
20,CA,Montreal,Montreal Airport Marriott In-Terminal Hotel,"800 Place Leigh Capreol, Dorval, Quebec, Canada",1273
21,CA,Montreal,Le Square Phillips Hotel & Suites,"1193 Place Phillips, Montreal, Quebec, Canada",2711
22,CA,Montreal,Le Petit Hotel,"168 rue St-Paul Ouest, Montreal, Quebec, Canada",1325
23,CA,Montreal,Hotel Bonaparte,"447, rue Saint-Francois Xavier, Montreal, Quebec, Canada",1301
24,CA,Montreal,Hotel Bonaventure Montreal,"900 De La Gauchetiere W, Montreal, Quebec, Canada",3082
25,CA,Montreal,W Montreal,"901 Victoria Square, Montreal, Quebec, Canada",1611
26,CA,Montreal,Embassy Suites by Hilton Montreal,"208 Saint Antoine Ouest, Montreal, Quebec, Canada",2859
27,CA,Montreal,Hilton Garden Inn Montreal Centre-Ville,"380 Sherbrooke Street West, Montreal, Quebec, Canada",2489
28,CA,Montreal,SpringHill Suites by Marriott Old Montreal,"445 Rue Saint-Jean-Baptiste, Montreal, Quebec, Canada",1393
29,CA,Montreal,Hotel St-Denis,"1254 St-Denis, Montreal, Quebec, Canada",837
30,CA,Montreal,Courtyard by Marriott Montreal Downtown,"380 Rene-Levesque Boulevard West, Montreal, Quebec, Canada",1187
31,CA,Montreal,Sheraton Montreal Airport Hotel,"555 Boulevard McMillan, Dorval, Quebec, Canada",1143
