Index,Country,City,Hotel,Address,Popularity
1,CA,Toronto,Hyatt Regency Toronto,"370 King St West, Toronto, Ontario, Canada",4301
2,CA,Toronto,Shangri-La Toronto,"188 University Avenue, Toronto, Ontario, Canada",1850
3,CA,Toronto,St. Regis Toronto,"325 Bay Street, Toronto, Ontario, Canada",2302
4,CA,Toronto,Cambridge Suites Toronto,"15 Richmond St. E., Toronto, Ontario, Canada",2164
5,CA,Toronto,Chelsea Hotel Toronto,"33 Gerrard Street W, Toronto, Ontario, Canada",8708
6,CA,Toronto,Hilton Toronto Airport Hotel & Suites,"5875 Airport Road, Mississauga, Ontario, Canada",2209
7,CA,Toronto,Four Seasons Hotel Toronto,"60 Yorkville Avenue, Toronto, Ontario, Canada",3020
8,CA,Toronto,Quality Inn Toronto Airport (formerly Comfort Inn Toronto Airport),"6355 Airport Rd, Mississauga, Ontario, Canada",1692
9,CA,Toronto,Sheraton Centre Toronto Hotel,"123 Queen Street West, Toronto, Ontario, Canada",2528
10,CA,Toronto,Delta Hotels by Marriott Toronto,"75 Lower Simcoe Street, Toronto, Ontario, Canada",2840
11,CA,Toronto,"InterContinental Toronto Centre, an IHG Hotel","225 Front Street West, Toronto, Ontario, Canada",3334
12,CA,Toronto,"The Ritz-Carlton, Toronto","181 Wellington St W, Toronto, Ontario, Canada",2050
13,CA,Toronto,Hilton Toronto,"145 Richmond Street West, Toronto, Ontario, Canada",3987
14,CA,Toronto,Alt Hotel Toronto Airport,"6080 Viscount Rd, Mississauga, Ontario, Canada",1456
15,CA,Toronto,Hampton Inn & Suites by Hilton Toronto Airport,"3279 Caroga Dr, Mississauga, Ontario, Canada",1548
16,CA,Toronto,Park Hyatt Toronto,"4 Avenue Rd, Toronto, Ontario, Canada",1959
17,CA,Toronto,Toronto Marriott City Centre Hotel,"One Blue Jays Way, Toronto, Ontario, Canada",2512
18,CA,Toronto,One King West Hotel & Residence,"1 King Street West, Toronto, Ontario, Canada",3193
19,CA,Toronto,The Hazelton Hotel,"118 Yorkville Ave, Toronto, Ontario, Canada",1425
20,CA,Toronto,"The Westin Harbour Castle, Toronto","1 Harbour Square, Toronto, Ontario, Canada",5462
21,CA,Toronto,Four Points by Sheraton Toronto Airport,"6257 Airport Road, Mississauga, Ontario, Canada",1354
22,CA,Toronto,Hilton Toronto / Markham Suites Conference Centre & Spa,"8500 Warden Avenue, Markham, Ontario, Canada",1304
23,CA,Toronto,Le Germain Hotel Toronto Mercer,"30 Mercer St, Toronto, Ontario, Canada",1111
24,CA,Toronto,Radisson Blu Toronto Downtown,"249 Queen's Quay West, Toronto, Ontario, Canada",2542
25,CA,Toronto,Four Points by Sheraton Toronto Mississauga,"6090 Dixie Rd, Mississauga, Ontario, Canada",1376
26,CA,Toronto,Hilton Garden Inn Toronto Downtown,"92 Peter St, Toronto, Ontario, Canada",1889
27,CA,Toronto,"Holiday Inn Toronto Downtown Centre, an IHG Hotel","30 Carlton Street, Toronto, Ontario, Canada",2080
28,CA,Toronto,Residence Inn Toronto Downtown/Entertainment District,"255 Wellington St W, Toronto, Ontario, Canada",1967
29,CA,Toronto,Super 8 by Wyndham Downtown Toronto,"222 Spadina Ave., Toronto, Ontario, Canada",1897
30,CA,Toronto,Marriott Downtown at CF Toronto Eaton Centre,"525 Bay Street, Toronto, Ontario, Canada",1893
31,CA,Toronto,DoubleTree by Hilton Hotel Toronto Downtown,"108 Chestnut Street, Toronto, Ontario, Canada",2860
32,CA,Toronto,Le Germain Hotel Toronto Maple Leaf Square,"75 Bremner Blvd, Toronto, Ontario, Canada",1580
33,CA,Toronto,Radisson Suite Hotel Toronto Airport,"640 Dixon Road, Toronto, Ontario, Canada",1756
34,CA,Toronto,Best Western Plus Toronto Airport Hotel,"5825 Dixie Rd, Mississauga, Ontario, Canada",2227
35,CA,Toronto,Hampton Inn & Suites by Hilton Toronto Markham,"52 Bodrington Crt, Markham, Ontario, Canada",688
36,CA,Toronto,Courtyard by Marriott Toronto Downtown,"475 Yonge Street, Toronto, Ontario, Canada",984
37,CA,Toronto,Hampton Inn & Suites by Hilton Toronto Downtown,"300 Jarvis St, Toronto, Ontario, Canada",1834
38,CA,Toronto,Hampton Inn by Hilton Toronto-Mississauga West,"2085 North Sheridan Way, Mississauga, Ontario, Canada",698
39,CA,Toronto,Radisson Toronto Airport West,"175 Derry Rd E, Mississauga, Ontario, Canada",804
40,CA,Toronto,Fairmont Royal York,"100 Front Street West Fairmont Gold Floor, Toronto, Ontario, Canada",1220
41,CA,Toronto,Pantages Hotel Toronto Centre,"200 Victoria St, Toronto, Ontario, Canada",1256
42,CA,Toronto,DoubleTree by Hilton Hotel Toronto Airport West,"5444 Dixie Rd, Mississauga, Ontario, Canada",547
43,CA,Toronto,Bond Place Hotel,"65 Dundas St. East, Toronto, Ontario, Canada",3180
44,CA,Toronto,The Strathcona Hotel,"60 York St, Toronto, Ontario, Canada",2229
45,CA,Toronto,Hotel X Toronto by Library Hotel Collection,"111 Princes Blvd, Toronto, Ontario, Canada",945
46,CA,Toronto,Hilton Garden Inn Toronto/Vaughan,"3201 Highway 7, Vaughan, Ontario, Canada",940
47,CA,Toronto,Hilton Garden Inn Toronto Airport West/Mississauga,"1870 Matheson Blvd, Mississauga, Ontario, Canada",1134
48,CA,Toronto,Homewood Suites by Hilton Toronto-Mississauga,"6430 Edwards Boulevard, Mississauga, Ontario, Canada",924
49,CA,Toronto,The Omni King Edward Hotel,"37 King Street East, Toronto, Ontario, Canada",4524
50,CA,Toronto,Delta Hotels by Marriott Toronto Mississauga,"3670 Hurontario St, Mississauga, Ontario, Canada",793
51,CA,Toronto,Hampton Inn by Hilton Brampton Toronto,"8710 The Gore Rd, Brampton, Ontario, Canada",684
