Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
1,US,Chicago,Hyatt Regency Chicago,"151 East Wacker Drive, Chicago, Illinois",10744,41.88756,-87.62193
2,US,Chicago,Hyatt Regency O'Hare Chicago,"9300 Bryn Mawr Ave, Rosemont, Illinois",5018,41.98133,-87.85901
3,US,Chicago,Virgin Hotels Chicago,"203 N Wabash Ave, Chicago, Illinois",2881,41.88592,-87.62614
4,US,Chicago,"LondonHouse Chicago, Curio Collection by Hilton","85 E Wacker Drive, Chicago, Illinois",3322,41.88795,-87.62503
5,US,Chicago,Trump International Hotel & Tower Chicago,"401 N. Wabash Avenue, Chicago, Illinois",4354,41.88902,-87.62655
6,US,Chicago,Loews Chicago O'Hare Hotel,"5300 N River Rd, Rosemont, Illinois",2502,41.97427,-87.86354
7,US,Chicago,Swissotel Chicago,"323 East Upper Wacker Drive, Chicago, Illinois",6112,41.88733,-87.6195
8,US,Chicago,Chicago Athletic Association Hotel,"12 S Michigan Ave, Chicago, Illinois",3072,41.88165,-87.62502
9,US,Chicago,"InterContinental Chicago Magnificent Mile, an IHG Hotel","505 North Michigan Ave, Chicago, Illinois",6704,41.89101,-87.6239
10,US,Chicago,Waldorf Astoria Chicago,"11 E. Walton St, Chicago, Illinois",3284,41.89985,-87.62757
11,US,Chicago,Hyatt Lodge Oak Brook Chicago,"2815 Jorie Blvd, Oak Brook, DuPage County, Illinois",1561,41.8365,-87.94724
12,US,Chicago,"The Langham, Chicago","330 N. Wabash Avenue, Chicago, Illinois",3514,41.88865,-87.62746
13,US,Chicago,Hilton Chicago,"720 South Michigan Avenue, Chicago, Illinois",6686,41.87253,-87.62478
14,US,Chicago,Thompson Chicago,"21 East Bellevue Place, Chicago, Illinois",3264,41.90139,-87.6274
15,US,Chicago,Sofitel Chicago Magnificent Mile,"20 East Chestnut St - Downtown, Chicago, Illinois",5270,42.26842,-89.09202
16,US,Chicago,Four Seasons Hotel Chicago,"120 E. Delaware Place, Chicago, Illinois",3967,41.89932,-87.62494
17,US,Chicago,Fairmont Chicago Millennium Park,"200 N Columbus Dr, Chicago, Illinois",3977,41.88606,-87.62114
18,US,Chicago,The Godfrey Hotel Chicago,"127 West Huron at LaSalle, Chicago, Illinois",3371,41.89459,-87.63196
19,US,Chicago,"Hotel Chicago Downtown, Autograph Collection","333 N Dearborn St, Chicago, Illinois",1785,41.88853,-87.62899
20,US,Chicago,Hyatt Centric Chicago Magnificent Mile,"633 North Saint Clair Street, Chicago, Illinois",3390,41.89381,-87.62258
21,US,Chicago,Loews Chicago Hotel,"455 N Park Dr, Chicago, Illinois",3494,41.89005,-87.61909
22,US,Chicago,Kimpton Hotel Monaco Chicago,"225 N Wabash Ave, Chicago, Illinois",2760,41.88634,-87.62614
23,US,Chicago,Hampton Inn Majestic Chicago Theatre District,"22 W. Monroe, Chicago, Illinois",2733,41.88083,-87.62849
24,US,Chicago,"Ambassador Chicago, JDV by Hyatt","1301 N State Pkwy, Chicago, Illinois",1324,41.90581,-87.62868
25,US,Chicago,Omni Chicago Hotel,"676 N Michigan Ave, Chicago, Illinois",4256,41.89474,-87.62494
26,US,Chicago,Silversmith Hotel Chicago Downtown,"10 S Wabash Ave, Chicago, Illinois",2557,41.88184,-87.62635
27,US,Chicago,W Chicago - City Center,"172 West Adams Street, Chicago, Illinois",2924,41.87973,-87.63314
28,US,Chicago,Viceroy Chicago,"1118 N State Street, Chicago, Illinois",1430,41.90261,-87.62857
29,US,Chicago,"Staypineapple, An Iconic Hotel, The Loop Chicago","1 W Washington St, Chicago, Illinois",3013,41.8831,-87.62815
30,US,Chicago,Best Western Chicago Downtown-River North,"125 W Ohio St, Chicago, Illinois",3195,41.89218,-87.63231
31,US,Chicago,The Westin Michigan Avenue Chicago,"909 North Michigan Avenue, Chicago, Illinois",3069,41.8995,-87.62349
32,US,Chicago,Hilton Garden Inn Chicago Downtown/Magnificent Mile,"10 E. Grand Avenue, Chicago, Illinois",3067,41.8918,-87.62762
33,US,Chicago,Embassy Suites by Hilton Chicago Downtown River North,"600 North State Street, Chicago, Illinois",3274,41.89287,-87.62858
34,US,Chicago,Embassy Suites by Hilton Chicago Downtown Magnificent Mile,"511 North Columbus Drive, Chicago, Illinois",4246,41.89142,-87.61968
35,US,Chicago,The Peninsula Chicago,"108 E Superior St, Chicago, Illinois",2063,41.89623,-87.62497
36,US,Chicago,Sheraton Grand Chicago,"301 East North Water Street, Chicago, Illinois",5794,41.88914,-87.61945
37,US,Chicago,Renaissance Chicago Downtown Hotel,"1 W Wacker Dr, Chicago, Illinois",2133,41.8863,-87.62848
38,US,Chicago,"Radisson Blu Aqua Hotel, Chicago","221 North Columbus Drive, Chicago, Illinois",6085,41.88652,-87.62025
39,US,Chicago,The Royal Sonesta Chicago River North,"505 N. State Street, Chicago, Illinois",3185,41.89111,-87.62764
40,US,Chicago,"Club Quarters Hotel Central Loop, Chicago","111 W Adams St, Chicago, Illinois",2903,41.87934,-87.63094
41,US,Chicago,theWit Chicago - a DoubleTree by Hilton Hotel,"201 N. State Street, Chicago, Illinois",3453,41.88604,-87.6276
42,US,Chicago,Homewood Suites by Hilton Chicago-Downtown,"40 East Grand Avenue, Chicago, Illinois",3446,41.89181,-87.62644
43,US,Chicago,Chicago Marriott Downtown Magnificent Mile,"540 N Michigan Ave, Chicago, Illinois",3345,41.89195,-87.6244
44,US,Chicago,Park Hyatt Chicago,"800 N Michigan Ave, Chicago, Illinois",2301,41.89679,-87.62437
45,US,Chicago,Chicago South Loop Hotel,"11 West 26th Street, Chicago, Illinois",2297,41.84536,-87.62753
46,US,Chicago,Chicago Getaway Hostel,"616 W Arlington Pl, Chicago, Illinois",1956,41.92683,-87.64464
47,US,Chicago,Hampton Inn & Suites Chicago-Downtown,"33 West Illinois, Chicago, Illinois",3260,41.83465,-87.62786
48,US,Chicago,SpringHill Suites Chicago O'Hare,"8101 W Higgins Rd, Rosemont, Illinois",1289,41.99413,-87.8688
49,US,Chicago,Hotel Versey Days Inn by Wyndham Chicago,"644 W Diversey Pkwy, Chicago, Illinois",3198,41.93292,-87.64529
50,US,Chicago,Hilton Chicago/Magnificent Mile Suites,"198 E. Delaware Place, Chicago, Illinois",2789,41.89956,-87.62215
51,US,Chicago,Hampton Inn Chicago-Midway Airport,"6540 S. Cicero Ave., Bedford Park, Illinois",955,41.77394,-87.74258
52,US,Chicago,W Chicago - Lakeshore,"644 N Lake Shore Dr, Chicago, Illinois",2285,41.894,-87.61533
53,US,Chicago,Fairfield Inn & Suites by Marriott Chicago Downtown/Magnificent Mile,"216 E Ontario St, Chicago, Illinois",2075,41.89348,-87.622
54,US,Chicago,Aloft Chicago O'Hare,"9700 Balmoral Ave, Rosemont, Illinois",1114,41.97732,-87.86714
55,US,Chicago,The Westin Chicago Lombard,"70 Yorktown Shopping Ctr, Lombard, DuPage County, Illinois",1016,41.84271,-88.00225
56,US,Chicago,The Westin Chicago River North,"320 North Dearborn Street, Chicago, Illinois",2282,41.88823,-87.62962
57,US,Chicago,Warwick Allerton - Chicago,"701 N Michigan Avenue, Chicago, Illinois",2780,41.89508,-87.62402
58,US,Chicago,Hilton Chicago/Oak Brook Hills Resort & Conference Center,"3500 Midwest Road, Oak Brook, DuPage County, Illinois",1708,41.82137,-87.97267
59,US,Chicago,Hilton Chicago/Oak Lawn,"9333 South Cicero Avenue, Oak Lawn, Illinois",1074,41.7229,-87.74067
60,US,Chicago,Gale Chicago,"201 E Delaware Pl, Chicago, Illinois",2461,41.89899,-87.62159
61,US,Chicago,Travelodge by Wyndham Downtown Chicago,"65 E Harrison St, Chicago, Illinois",2627,41.87424,-87.62551
62,US,Chicago,SpringHill Suites Chicago Downtown/River North,"410 North Dearborn Street, Chicago, Illinois",1601,41.88963,-87.62987
63,US,Chicago,Hyatt Place Chicago / River North,"66 W Illinois St, Chicago, Illinois",2606,41.89094,-87.63045
64,US,Chicago,Sheraton Suites Chicago O'Hare,"6501 Mannheim Road, Rosemont, Illinois",1124,41.99717,-87.88381
65,US,Chicago,Hampton Inn & Suites Chicago-North Shore/Skokie,"5201 Old Orchard Road, Skokie, Illinois",1437,42.06168,-87.75665
66,US,Chicago,La Quinta Inn & Suites by Wyndham Chicago Downtown,"One South Franklin, Chicago, Illinois",1832,41.87808,-87.6352
67,US,Chicago,Renaissance Chicago North Shore Hotel,"933 Skokie Blvd, Northbrook, Illinois",685,42.13523,-87.78826
68,US,Chicago,Hilton Garden Inn Chicago/Midway Airport,"6530 S Cicero Ave, Bedford Park, Illinois",653,41.77423,-87.7464
69,US,Chicago,Hyatt Place Chicago / Downtown - The Loop,"28 N Franklin St, Chicago, Illinois",1842,41.88287,-87.63562
70,US,Chicago,Millennium Knickerbocker Hotel Chicago,"163 East Walton Place, Chicago, Illinois",1652,41.90016,-87.62311
71,US,Chicago,DoubleTree by Hilton Hotel Chicago O'Hare Airport - Rosemont,"5460 N River Rd, Rosemont, Illinois",1826,41.97832,-87.8634
72,US,Chicago,Inn of Chicago Magnificent Mile,"162 E.Ohio St., Chicago, Illinois",2375,41.89267,-87.62348
73,US,Chicago,JW Marriott Chicago,"151 W Adams St, Chicago, Illinois",1851,41.87917,-87.63282
74,US,Chicago,DoubleTree by Hilton Hotel Chicago - North Shore Conference Center,"9599 Skokie Blvd, Skokie, Illinois",1486,42.05451,-87.74561
75,US,Chicago,Residence Inn Chicago Downtown/River North,"410 North Dearborn Street, Chicago, Illinois",1916,41.88963,-87.62987
76,US,Chicago,Hampton Inn Chicago-O'Hare International Airport,"3939 N. Mannheim Rd., Schiller Park, Illinois",1383,41.9499,-87.88526
77,US,Chicago,Courtyard by Marriott Chicago Downtown/Magnificent Mile,"165 East Ontario Street, Chicago, Illinois",2035,41.89313,-87.62311
78,US,Chicago,Chicago Marriott Suites O'Hare,"6155 N River Rd, Rosemont, Illinois",642,41.9885,-87.85913
79,US,Chicago,Hilton Garden Inn Chicago OHare Airport,"2930 South River Road, Des Plaines, Illinois",1663,42.00081,-87.86456
80,US,Chicago,Hotel Blake,"500 S Dearborn St, Chicago, Illinois",2428,41.87541,-87.62936
