Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
1,CA,Montreal,Hotel Place d'Armes Old Montreal,"55 Rue Saint-Jacques, Montreal, Quebec, Canada",3385,45.50553,-73.55757
2,CA,Montreal,Sofitel Montreal Golden Mile,"1155 Sherbrooke West, Montreal, Quebec, Canada",2873,45.52198,-73.56561
3,CA,Montreal,InterContinental Montreal,"360 Rue St-Antoine Ouest, Montreal, Quebec, Canada",2693,45.5029,-73.56031
4,CA,Montreal,Le Centre Sheraton Montreal Hotel,"1201 Boulevard Rene-Levesque West, Montreal, Quebec, Canada",2909,45.51733,-73.55398
5,CA,Montreal,Le Westin Montreal,"270 Saint-Antoine Ouest, Montreal, Quebec, Canada",2223,45.50355,-73.55982
6,CA,Montreal,"Vogue Hotel Montreal Downtown, Curio Collection by Hilton","1425 Rue De La Montagne, Montreal, Quebec, Canada",2088,45.49836,-73.57586
7,CA,Montreal,Hotel Nelligan,"106, Rue Saint-Paul Ouest, Montreal, Quebec, Canada",3022,45.50419,-73.55437
8,CA,Montreal,Montreal Marriott Chateau Champlain,"1050 de la Gauchetiere West, Montreal, Quebec, Canada",2415,45.51569,-73.55335
9,CA,Montreal,Le Saint-Sulpice,"414 Saint-Sulpice, Montreal, Quebec, Canada",2869,45.50434,-73.55504
10,CA,Montreal,Auberge du Vieux-Port,"97 Rue de la Commune East, Montreal, Quebec, Canada",2157,45.50646,-73.55279
11,CA,Montreal,Hotel William Gray,"421 Rue St. Vincent, Montreal, Quebec, Canada",1085,45.5073,-73.5534
12,CA,Montreal,Hotel Gault,"449 Sainte-Helene, Montreal, Quebec, Canada",1684,45.50152,-73.5582
13,CA,Montreal,Novotel Montreal Centre,"1180 Rue de la Montagne, Montreal, Quebec, Canada",2215,45.49674,-73.57338
14,CA,Montreal,Hotel Faubourg Montreal,"155 Rene Levesque Boulevard East, Montreal, Quebec, Canada",2017,45.51024,-73.56051
15,CA,Montreal,Le St-Martin Hotel Particulier Montreal,"980 Boulevard de Maisonneuve Ouest, Montreal, Quebec, Canada",2029,45.50167,-73.57351
16,CA,Montreal,Delta Hotels by Marriott Montreal,"475 President-Kennedy Avenue, Montreal, Quebec, Canada",2037,45.50654,-73.57152
