Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
1,CA,Toronto,Hyatt Regency Toronto,"370 King St West, Toronto, Ontario, Canada",4301,43.64649,-79.39175
2,CA,Toronto,Shangri-La Toronto,"188 University Avenue, Toronto, Ontario, Canada",1850,43.6491,-79.38617
3,CA,Toronto,St. Regis Toronto,"325 Bay Street, Toronto, Ontario, Canada",2302,43.64988,-79.38034
4,CA,Toronto,Cambridge Suites Toronto,"15 Richmond St. E., Toronto, Ontario, Canada",2164,43.65169,-79.37813
5,CA,Toronto,Chelsea Hotel Toronto,"33 Gerrard Street W, Toronto, Ontario, Canada",8708,43.65845,-79.38303
6,CA,Toronto,Hilton Toronto Airport Hotel & Suites,"5875 Airport Road, Mississauga, Ontario, Canada",2209,43.68714,-79.60293
7,CA,Toronto,Four Seasons Hotel Toronto,"60 Yorkville Avenue, Toronto, Ontario, Canada",3020,43.67163,-79.38975
8,CA,Toronto,Quality Inn Toronto Airport (formerly Comfort Inn Toronto Airport),"6355 Airport Rd, Mississauga, Ontario, Canada",1692,43.69137,-79.62472
9,CA,Toronto,Sheraton Centre Toronto Hotel,"123 Queen Street West, Toronto, Ontario, Canada",2528,43.6512,-79.38417
10,CA,Toronto,Delta Hotels by Marriott Toronto,"75 Lower Simcoe Street, Toronto, Ontario, Canada",2840,43.64303,-79.38379
11,CA,Toronto,"InterContinental Toronto Centre, an IHG Hotel","225 Front Street West, Toronto, Ontario, Canada",3334,43.64453,-79.38522
12,CA,Toronto,"The Ritz-Carlton, Toronto","181 Wellington St W, Toronto, Ontario, Canada",2050,43.64549,-79.38702
13,CA,Toronto,Hilton Toronto,"145 Richmond Street West, Toronto, Ontario, Canada",3987,43.64987,-79.38537
14,CA,Toronto,Alt Hotel Toronto Airport,"6080 Viscount Rd, Mississauga, Ontario, Canada",1456,43.6897,-79.61468
15,CA,Toronto,Hampton Inn & Suites by Hilton Toronto Airport,"3279 Caroga Dr, Mississauga, Ontario, Canada",1548,43.68907,-79.60788
16,CA,Toronto,Park Hyatt Toronto,"4 Avenue Rd, Toronto, Ontario, Canada",1959,43.66886,-79.39446
17,CA,Toronto,Toronto Marriott City Centre Hotel,"One Blue Jays Way, Toronto, Ontario, Canada",2512,43.64355,-79.39129
18,CA,Toronto,One King West Hotel & Residence,"1 King Street West, Toronto, Ontario, Canada",3193,43.649,-79.37811
19,CA,Toronto,The Hazelton Hotel,"118 Yorkville Ave, Toronto, Ontario, Canada",1425,43.67086,-79.3937
20,CA,Toronto,"The Westin Harbour Castle, Toronto","1 Harbour Square, Toronto, Ontario, Canada",5462,43.6409,-79.37587
21,CA,Toronto,Four Points by Sheraton Toronto Airport,"6257 Airport Road, Mississauga, Ontario, Canada",1354,43.69028,-79.62173
22,CA,Toronto,Hilton Toronto / Markham Suites Conference Centre & Spa,"8500 Warden Avenue, Markham, Ontario, Canada",1304,43.85439,-79.33511
23,CA,Toronto,Le Germain Hotel Toronto Mercer,"30 Mercer St, Toronto, Ontario, Canada",1111,43.6458,-79.39103
24,CA,Toronto,Radisson Blu Toronto Downtown,"249 Queen's Quay West, Toronto, Ontario, Canada",2542,43.63866,-79.38571
25,CA,Toronto,Four Points by Sheraton Toronto Mississauga,"6090 Dixie Rd, Mississauga, Ontario, Canada",1376,43.65721,-79.65088
26,CA,Toronto,Hilton Garden Inn Toronto Downtown,"92 Peter St, Toronto, Ontario, Canada",1889,43.64694,-79.39309
27,CA,Toronto,"Holiday Inn Toronto Downtown Centre, an IHG Hotel","30 Carlton Street, Toronto, Ontario, Canada",2080,43.66172,-79.38109
28,CA,Toronto,Residence Inn Toronto Downtown/Entertainment District,"255 Wellington St W, Toronto, Ontario, Canada",1967,43.6448,-79.39057
29,CA,Toronto,Super 8 by Wyndham Downtown Toronto,"222 Spadina Ave., Toronto, Ontario, Canada",1897,43.65066,-79.39783
30,CA,Toronto,Marriott Downtown at CF Toronto Eaton Centre,"525 Bay Street, Toronto, Ontario, Canada",1893,43.65468,-79.38281
31,CA,Toronto,DoubleTree by Hilton Hotel Toronto Downtown,"108 Chestnut Street, Toronto, Ontario, Canada",2860,43.65469,-79.38608
